id,name
ALACHUA,Alachua
BAKER,Baker
BAY,Bay
BRADFORD,Bradford
BREVARD,Brevard
BROWARD,Broward
CALHOUN,Calhoun
CHARLOTTE,Charlotte
CITRUS,Citrus
CLAY,Clay
COLLIER,Collier
COLUMBIA,Columbia
DESOTO,DeSoto
DIXIE,Dixie
DUVAL,Duval
ESCAMBIA,Escambia
FLAGLER,Flagler
FRANKLIN,Franklin
GADSDEN,Gadsden
GILCHRIST,Gilchrist
GLADES,Glades
GULF,Gulf
HAMILTON,Hamilton
HARDEE,Hardee
HENDRY,Hendry
HERNANDO,Hernando
HIGHLANDS,Highlands
HILLSBOROUGH,Hillsborough
HOLMES,Holmes
INDIAN_RIVER,Indian River
JACKSON,Jackson
JEFFERSON,Jefferson
LAFAYETTE,Lafayette
LAKE,Lake
LEE,Lee
LEON,Leon
LEVY,Levy
LIBERTY,Liberty
MADISON,Madison
MANATEE,Manatee
MARION,Marion
MARTIN,Martin
MIAMI_DADE,Miami-Dade
MONROE,Monroe
NASSAU,Nassau
OKALOOSA,Okaloosa
OKEECHOBEE,Okeechobee
ORANGE,Orange
OSCEOLA,Osceola
PALM_BEACH,Palm Beach
PASCO,Pasco
PINELLAS,Pinellas
POLK,Polk
PUTNAM,Putnam
ST__JOHNS,St. Johns
ST__LUCIE,St. Lucie
SANTA_ROSA,Santa Rosa
SARASOTA,Sarasota
SEMINOLE,Seminole
SUMTER,Sumter
SUWANNEE,Suwannee
TAYLOR,Taylor
UNION,Union
VOLUSIA,Volusia
WAKULLA,Wakulla
WALTON,Walton
WASHINGTON,Washington